Vgs,Id_real,Id_ideal
0,0,0
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,2.16937e-036,1.97215e-036
2.1,1.1e-007,1e-007
2.2,4.4e-007,4e-007
2.3,9.9e-007,9e-007
2.4,1.76e-006,1.6e-006
2.5,2.75e-006,2.5e-006
2.6,3.96e-006,3.6e-006
2.7,5.39e-006,4.9e-006
2.8,7.04e-006,6.4e-006
2.9,8.91e-006,8.1e-006
3,1.1e-005,1e-005
3.1,1.331e-005,1.21e-005
3.2,1.584e-005,1.44e-005
3.3,1.859e-005,1.69e-005
3.4,2.156e-005,1.96e-005
3.5,2.475e-005,2.25e-005
3.6,2.816e-005,2.56e-005
3.7,3.179e-005,2.89e-005
3.8,3.564e-005,3.24e-005
3.9,3.971e-005,3.61e-005
4,4.4e-005,4e-005
4.1,4.851e-005,4.41e-005
4.2,5.324e-005,4.84e-005
4.3,5.819e-005,5.29e-005
4.4,6.336e-005,5.76e-005
4.5,6.875e-005,6.25e-005
4.6,7.436e-005,6.76e-005
4.7,8.019e-005,7.29e-005
4.8,8.624e-005,7.84e-005
4.9,9.251e-005,8.41e-005
5,9.9e-005,9e-005
